Name,parameters
BBa_K525305,chassis:NA;excitation:	515 nm;excitation:NA;origin:NA;biology:NA;emission:NA;origin:Geobacillus stearothermophilus;emission:	529 nm;biology:S-Layer;chassis:E. coli
BBa_K539558,n/a:a RBS+lacI repressor+RNA thermometer+tetR+double terminator
BBa_K539461,n/a:promoter (lacI regulated)+RNA thermometer+vioD with RNA thermometer+tetR+double terminator
BBa_K539691,n/a:promoter(lacI regulated)+Alss+ilvC+ilvD(each preceded by own RBS)and RNA thermometer+terminater;n/a:promoter(lacI regulated)+Alss+ilvC+ilvD(each preceded by own RBS)and RNA thermometer+terminator;n/a:promoter (lacI regulated)+Alss+ilvC+ilvD(each preceded by their own RBS)and RNA thermometer+terminator
BBa_K525551,n/a:NA;n/a:NADP+ Oxidoreduktase and polycistronic BisdA and BisdB
BBa_K560000,n/a: Blue Light Sensor+PtrpL+mRFP1
BBa_K546001,device_type:feedback;latency:Seconds;protein:(1) LuxR & (2) luxI-LVA;direction:Forward;protein:(1) LuxR & (2) AiiA-LVA;control:(1) R0063 & (2) R0062;switch_point:(1) 2nM;signalling_molecule:3OC<sub>6</sub>HSL (AHL)
BBa_K567001,chassis:NA;ligands:NA;function:IPTG induced tRNA expression;function:NA;n/a:lacI-Ptrc-tRNA(Arg);ligands:Isopropyl &#946;-D-1-Thiogalactopyranoside;n/a:''lacI'' -Ptrc-tRNA(Arg);chassis:Escherichia coli
BBa_K575008,"n/a:LasR/PAI1 Inducible Promoter + RBS (B0030) + GFP;n/a:LasR/PAI1 Inducible Promoter + RBS (B0030) + GFPith GFP (with RBS, B0030)"
BBa_K575009,n/a:LasR/PAI1 Inducible Promoter + RBS (B0034) + GFP
BBa_K575012,n/a:RhlR/PAI2  Inducible Promoter + RBS (B0030) + GFP
BBa_K575013,n/a:RhlR/PAI2 Inducible Promoter + RBS (B0034) + GFP
BBa_K575024,n/a:LasP/30/G +CP/30/LasR
BBa_K568001,n/a:Optogenetical AND-Gate red/blue light
BBa_K584001,n/a:Constitutive promotor + GFP generator
BBa_K584002,n/a:pLac-Lux hybrid + GFP generator
BBa_K737041,n/a:galK::GFP generator ligated to LacI generator and constitutive sRNA device 
BBa_K737059,n/a:NanC_Constitutive buffer RNA generator
BBa_K737051,n/a:IPTG inducible GFP Generator
BBa_K737061,n/a:SrlA_Constitutive buffer RNA generator
BBa_K777002,ligands:Aspartate;biology:Escherichia coli;positive_regulators:J23100 constitutive promoter;chassis:E. coli;protein:Tar
BBa_K769020,n/a:lux operon(K769011) + lumP(K769019)
BBa_K781006,n/a:[R0010][B0034] - RFP-FliC Deletion Chimera
BBa_K808030,protein:NA
BBa_K808032,control:NA;protein:NA
BBa_K864102,excitation:515 nm;chassis:Codon optimized for expression in E coli.;emission:527 nm
BBa_K864101,excitation:515 nm;chassis:Codon optimized for expression in E coli.;emission:527 nm
BBa_K1152006,n/a:Valine-Indigoidine fusion - NRPS
BBa_K1339021,n/a:Pbad-RBS-G3DH-dT;n/a:Pbad-RBS-G3DH-T0 terminator
BBa_K1383002,n/a:BBa_K1383001 (mCherry- Theoretical weakest RBS)
BBa_K1383000,n/a:BBa_K1383000 (mCherry- Native RBS)
BBa_K1383001,n/a:BBa_K1383001 (mCherry- Theoretical strongest RBS)
BBa_K1508003,chassis:Escherichia coli;chassis:NA
BBa_K332021,positive_regulators:NA;control:NA;proteins:NA
BBa_K525404,color:NA;color:Red
BBa_K525406,color:NA;color:Blue
BBa_K568004,n/a:Optogenetical AND-Gate blue light - without first promoter - choose your first input;n/a:Optogenetical AND-Gate blue light - withouth first promoter - choose your first input
BBa_K575011,n/a:LasR/PAI1 Inducible Promoter + RBS (B0034) + RFP
BBa_K575014,n/a:RhlR/PAI2 Inducible Promoter + RBS (B0030) + RFP
BBa_K575025,n/a:CP/34/LasR +LasP/30/G;n/a:LasP/30/G + CP/34/LasR
BBa_K575026,n/a:LasP/30/R +  CP/30/LasR
BBa_K575015,n/a:RhlR/PAI2 Inducible Promoter + RBS (B0034) + RFP
BBa_K584003,n/a:Lambda cI and LuxR regulated - hybrid promotor + GFP generator;n/a:Lambda cI and LuxR regulated - hybrid promoter + GFP generator
BBa_K575010,n/a:LasR/PAI1 Inducible Promoter + RBS (B0030) + RFP
BBa_K653001,device_type:NA
BBa_K653003,device_type:NA
BBa_K777101,function:Motility;chassis:NA;positive_regulators:NA;function:NA;positive_regulators:J23100 constitutive promoter;chassis:E. coli
BBa_K777103,function:Motility;positive_regulators:J23105 constitutive promoter;positive_regulators:J23100 constitutive promoter;chassis:E. coli
BBa_K777104,function:Motility;positive_regulators:J23100 constitutive promoter;chassis:E. coli;positive_regulators:J23106 constitutive promoter
BBa_K777105,function:Motility;positive_regulators:J23109 constitutive promoter;positive_regulators:J23100 constitutive promoter;chassis:E. coli
BBa_K777007,ligands:Aspartate;biology:Escherichia coli;positive_regulators:J23100 constitutive promoter;chassis:E. coli;protein:Tar
BBa_K777106,function:Motility;positive_regulators:J23112 constitutive promoter;positive_regulators:J23100 constitutive promoter;chassis:E. coli
BBa_K777108,function:Motility;positive_regulators:J23100 constitutive promoter;chassis:E. coli;positive_regulators:J23114 constitutive promoter
BBa_K777107,function:Motility;chassis:E. coli;positive_regulators:J23100 constitutive promoter;positive_regulators:J23113 constitutive promoter
BBa_K784006,emit:610;lum:   --;protein:mCherry2;emission:610;excite:587;abs:   --;tag:None;biology:NA;excitation:587
BBa_K929002,n/a:modified_AID with CMV and hGH-polyA
BBa_K936013,n/a:pelB-LC-Cutinase fusion protein
BBa_K936020,n/a:K206000+B0034+pelB+Cutinase+Polyhistidine Tag;n/a:K206000-B0034-pelB-Cutinase-Polyhistidine Tag
BBa_J102003,n/a:Modular Biological Capacitor
BBa_J120027,n/a:It is a composite part. which contains constant region of ADAM 17 antibody along with GFP (Green Flu
BBa_J85120,emission:607;emit:607;excite:584;excitation:584
BBa_K1001757,"direction:Forward;o_h:NA;control:luxR, HSL;o_l:NA;negative_regulators:NA;positive_regulators:1"
BBa_K1020004,function:NA
BBa_K1020007,protein:NA
BBa_K1020008,function:NA
BBa_K1020012,control:NA;function:NA
BBa_K1020009,family:NA
BBa_K1020011,control:NA;function:NA
BBa_K1022104,n/a:pT7:  RBS: His6- SUMO: MaximinH5: RBS TetR :TT
BBa_K1022116,n/a:pBAD: Ulp: TT: pT7: RBS: His6- SUMO: MaximinH5
BBa_K1022114,n/a:pT7 : Lysis Device
BBa_K1022117,n/a:pBAD: Ulp: TT: pT7: RBS:  His6- SUMO: Signiferin
BBa_K1022119,n/a:pBAD: RBS : agrC : RBS : agrA : TT : pP2
BBa_K1022118,n/a:pBAD: Ulp: TT: pT7: RBS:  His6- SUMO: Magainin
BBa_K1045014,n/a:Promoter BBa_J23117reverse-Promoter 3-DarR operator - Bba_E0240;n/a:Promoter reverse - Promoter - DarR operator - GFP generator BBa_E0240;n/a:Promoter reverse - Promoter - DarR operator - GFP generator;n/a:Promoter reverse-Promoter 3-DarR operator - Bba_E0240;n/a:Promoter reverse - Promoter 3 - DarR operator - GFP generator
BBa_K1064002,n/a:pSOS + GFP Generator
BBa_K1064003,n/a:pUV + GFP Generator;function:NA
BBa_K1064005,n/a:pSOS + mCherry
BBa_K1065204,chassis:B. subtilis + E. coli;resistance:A(E. coli) S(B. subtilis);origin:NA;copies:NA
BBa_K1065203,chassis:B. subtilis + E. coli;origin:pDG148;copies:NA;resistance:A(E. coli) + K(B. subtilis)
BBa_K1058010,n/a:PT7+lacO+egfp+T7t+Ptet+lac I;n/a:PT7+lacO+egfp+T7t+Plux+lacI;n/a:PT7+lacO+egfp+T7t+Ptet+lacI
BBa_K1072006,control:Lux pR;protein:&#945;-acetolactate synthetase ;control:NA;protein:NA
BBa_K1072000,device_type:feedback;latency:Seconds;control:(1) R0063 & (2) R0062 & (3) R0062;protein:(1) LuxR _ (2) GFP  (3) luxI-LVA;direction:Forward;signalling_molecule:3OC<sub>6</sub>HSL (AHL);switch_point:(1) 2nM;protein:(1) LuxR _ (2) GFP-LVA  (3) luxI-LVA
BBa_K1072003,device_type:feedback;latency:Seconds;protein:(1) LuxR _ (2) GFP  (3) luxI-LVA;control:(1) R0063 & (2) R0062 & (3) R0062;direction:Forward;switch_point:(1) 2nM;signalling_molecule:3OC<sub>6</sub>HSL (AHL);protein:(1) LuxR  (2) NADH dehydrogenase  (3) luxI-LVA
BBa_K1072017,chassis:NA;direction:NA;family:NA;direction:Forward;proteins:NA;proteins:1)Odr-10 2)GFP 3)BFP;chassis:S.cerevisiae;family:G protein family
BBa_K1072007,device_type:feedback;latency:Seconds;protein:(1) LuxR _ (2) GFP  (3) luxI-LVA;control:(1) R0063 & (2) R0062 & (3) R0062;direction:Forward;signalling_molecule:3OC<sub>6</sub>HSL (AHL);switch_point:(1) 2nM;protein:(1) LuxR _ (2) GFP  (3) luxI-LVA  (4) &#945;-ALS
BBa_K1072018,chassis:S.cerevisiae;family:G protein family;proteins:1)Odr-10 2)GFP 3)BFP;direction:Forward
BBa_K1072022,device_type:feedback;latency:Seconds;control:(1) R0063 & (2) R0062 & (3) R0062;direction:Forward;protein:(1) LuxR  (2) NADH dehydrogenase  (3) luxI-LVA &#65288;4&#65289;GFP;switch_point:(1) 2nM;signalling_molecule:3OC<sub>6</sub>HSL (AHL);protein:(1) LuxR  (2) NADH dehydrogenase  (3) luxI-LVA
BBa_K1111005,n/a:constitutive promoter inducing GFP expression
BBa_K1139018,n/a:Promoterless-M13 + Plac on pSB3
BBa_K1139020,n/a:PlacI&#65361;-M13-Plac-GFP on pSB3;n/a:PlacIq-M13-Plac-GFP on pSB3
BBa_K1139022,n/a:Promoterless-M13-Plac-GFP
BBa_K1140002,tag:NA;rbs:32 oC riboswitch;direction:NA;rbs:NA;direction:Forward;function:NA;function:Reporter;tag:LVA;protein:GFP;protein:NA
BBa_K1140004,direction:NA;direction:Forward
BBa_K1140003,tag:NA;function:Repressor;direction:NA;direction:Forward;function:NA;protein:LacI;tag:LVA;protein:NA
BBa_K1140005,tag:NA;function:Repressor;direction:NA;ligands:tetracycline;direction:Forward;ligands:NA;protein:TetR;function:NA;tag:LVA;protein:NA
BBa_K1140006,function:Integrated Transcriptional and Translational regulation;tag:NA;direction:NA;direction:Forward;function:NA;function:Reporter;protein:mCherry;switch_point:37 celsius degrees;protein:RFP;switch_point:NA;switch_point:37 celcius degrees;tag:LVA;protein:NA
BBa_K1139019,n/a:Promoterless-M13 on pSB3;n/a:Promoterless-M13
BBa_K1151008,n/a:RFP nickel regulated
BBa_K1151017,n/a:GFP-RFP nickel regulated 1 (without terminator)
BBa_K1151024,n/a:Hpn-TER
BBa_K1151027,n/a:pUreA-RBS-RFP (LVAtag)
BBa_K1151028,n/a:pexbB-RBS-GFP-TER-pUreA-RBS-RFP (LVAtag)
BBa_K1151029,n/a:pnikR-RBS-GFP-TER-pUreA-RBS-RFP (LVAtag)
BBa_K1151034,n/a:LuxpR-RBS-LuxI 
BBa_K1151030,n/a:pint-RBS-GFP-TER-pUreA-RBS-RFP (LVAtag);n/a:pint-RBS-GFP-TER-preA-RBS-RFP (LVAtag)
BBa_K1152004,n/a:Expression cassette for NRPS that synthesizes a Pro-Leu-Dipeptide
BBa_K1152005,n/a:Expression cassette for NRPS synthesizing a Phe-Orn-Leu-Tripeptide
BBa_K1162306,"n/a:LL-37 antimicrobial peptide fused with 8x spider silk protein, with 10x His-Tag"
BBa_K1188000,n/a:AmilCP screening part
BBa_K1222000,"n/a:pCam (T7 promoter+lac operator+CamR antisense""2""+T7 terminator+Lac promoter+LacI)"
BBa_K1222979,n/a:pGFP(I719005+lac operator+GFP antisense 2+K731721)/PSB1C3
BBa_K1232000,n/a:Green light inducible sfGFP = [PCpcG2-RBS-sfGFP-CcaS](rev)-CcaR
BBa_K1232004,n/a:Cyanobacterial chromophore = Para/lac-RBS-Ho1-RBS-PcyA
BBa_K1339014,n/a:Pconst(high)-RBS-otsB-RBS-otsA-dT
BBa_K1339016,n/a:P106-RBS-otsB-RBS-otsA-dT;n/a:P106-RBS-otsA-RBS-otsB-dT;n/a:Pconst(medium)-RBS-otsB-RBS-otsA-dT
BBa_K1363003,n/a:OriT-K592016 the blue sensor which can be transfered into other bacterias by S17-1
BBa_K1363006,n/a:an experimental part used to test the conjugation
BBa_K1371000,n/a:DEBS1
BBa_K1371040,n/a:DEBS1(KR1);n/a:DEBS1;n/a:DEBS1'
BBa_K1371015,n/a:pT7+birA+accA+pccB+2TM-pT7+sfp+2TM
BBa_K1371041,n/a:RFP-DEBS1
BBa_K1405008,chassis:NA;control:NA;direction:NA;direction:Forward;chassis:E.Coli;control:IPTG
BBa_K1428000,proteins:NA
BBa_K1456025,n/a:tetR-ODD-VP16 
BBa_K1471003,rbs:NA;protein:NA
BBa_K1471002,n/a:RBS with MerE. 
BBa_K1471004,n/a:NLS with PolyA.
BBa_K1479019,color:NA
BBa_K1480002,color:NA;negative_regulators:regulated by TetR ;direction:NA;direction:Forward;color:Red;excitation:NA;function:NA;emission:NA;function:Reporter;excitation:584;protein:E1010 / mCherry / mRFP;negative_regulators:NA;negative_regulators:Tet represor;emission:607;protein:mRFP;protein:NA
BBa_K1480003,function:Repressor;direction:Forward;family:TetR;ligands:ATc / Tetracycline;target:ptet;protein:TetR repressor;tag:LVA
BBa_K1480004,function:Repressor;direction:Forward;family:TetR;ligands:ATc / Tetracycline;target:ptet;protein:TetR repressor;tag:LVA
BBa_K1480005,tag:NA;function:Repressor;family:NA;direction:Forward;family:TetR;ligands:NA;direction:NA;function:NA;target:NA;ligands:ATc / Tetracycline;target:ptet;protein:TetR repressor;tag:LVA;protein:NA
BBa_K1485005,n/a:crtY+crtZ+crtI
BBa_K1497005,n/a:B0034-CHS-B0034-CHI - Composite part of RBS-CHS and RBS-CHI
BBa_K1497006,n/a:B0034-4CL-B0034-TAL
BBa_K1497023,n/a:B0034-F3H-B0034-DFR-B0034-sANS
BBa_K1497018,n/a:B0034-F3H-B0034-DFR
BBa_K1499252,chassis:Amberless E. coli (C321.&#916;A) 
BBa_K1507001,n/a:well....it's just testing;n/a:NA
BBa_K1507000,n/a:PfadBA Repressor (J23119- B0034-FadR-B0015)
BBa_K1520004,"direction:Forward;o_h:NA;protein:LacI;tag:LVA;control:luxR, HSL;o_l:NA;negative_regulators:NA;function:Rep;positive_regulators:1;ligands:allolactose, IPTG;swisspro:P03023"
BBa_K1520006,"direction:Forward;o_h:NA;ligands:RecA;tag:LVA;control:luxR, HSL;o_l:NA;negative_regulators:NA;protein:CI lambda;swisspro:P03034;function:Rep;positive_regulators:1"
BBa_K1520009,"negative_regulators:1;direction:Forward;positive_regulators:NA;o_h:NA;control:IPTG, lacI;protein:luxI-LVA;ec_num:none;o_l:NA;kegg:none;uniprot:P48445;biology:NA;tag:LVA;swisspro:P12747"
BBa_K1520007,"negative_regulators:1;direction:Forward;positive_regulators:NA;o_h:NA;control:lambda cI;protein:LacI;tag:LVA;o_l:NA;function:Rep;ligands:allolactose, IPTG;swisspro:P03023"
BBa_K1520011,"direction:Forward;o_h:NA;protein:luxI-LVA;ec_num:none;control:luxR, HSL;o_l:NA;kegg:none;uniprot:P48445;negative_regulators:NA;tag:LVA;positive_regulators:1;swisspro:P12747"
BBa_K1520012,"direction:Forward;o_h:NA;control:luxR, HSL;o_l:NA;swisspro:P12746;negative_regulators:NA;tag:None;function:Mixed;ligands:HSL;protein:LuxR;positive_regulators:1"
BBa_K1520013,"direction:Forward;o_h:NA;protein:luxI-LVA;ec_num:none;control:luxR, HSL;o_l:NA;swisspro:P12746;kegg:none;tag:None;uniprot:P48445;function:Mixed;ligands:HSL;tag:LVA;negative_regulators:NA;protein:LuxR;swisspro:P12747;positive_regulators:1"
BBa_K1520016,"n/a:constitutive promoter family member;direction:Forward;positive_regulators:NA;o_h:NA;protein:LuxR;protein:LacI;control:luxR, HSL;o_l:NA;tag:LVA;negative_regulators:NA;swisspro:P12746;tag:None;function:Mixed;ligands:HSL;function:Rep;positive_regulators:1;ligands:allolactose, IPTG;swisspro:P03023"
BBa_K1520018,"negative_regulators:1;direction:Forward;positive_regulators:NA;o_h:NA;control:lambda cI;ligands:RecA;protein:LacI;tag:LVA;o_l:NA;control:luxR, HSL;negative_regulators:NA;protein:CI lambda;swisspro:P03034;function:Rep;positive_regulators:1;ligands:allolactose, IPTG;swisspro:P03023"
BBa_K1520019,"n/a:constitutive promoter family member;negative_regulators:1;swisspro:P03023;direction:Forward;positive_regulators:NA;o_h:NA;function:Rep;protein:luxI-LVA;protein:LacI;ec_num:none;o_l:NA;kegg:none;uniprot:P48445;swisspro:P12747;negative_regulators:NA;biology:NA;tag:LVA;ligands:allolactose, IPTG;control:IPTG, lacI"
BBa_K1520020,"n/a:constitutive promoter family member;o_h:NA;ec_num:none;tag:None;ligands:HSL;protein:LuxR;control:IPTG, lacI;o_l:NA;swisspro:P12746;negative_regulators:NA;biology:NA;ligands:allolactose, IPTG;protein:luxI-LVA;uniprot:P48445;negative_regulators:1;direction:Forward;positive_regulators:NA;function:Rep;kegg:none;function:Mixed;tag:LVA;swisspro:P12747"
BBa_K1520017,"n/a:constitutive promoter family member;negative_regulators:1;direction:Forward;positive_regulators:NA;o_h:NA;control:IPTG, lacI;protein:LacI;control:luxR, HSL;o_l:NA;tag:LVA;negative_regulators:NA;biology:NA;function:Rep;positive_regulators:1;ligands:allolactose, IPTG;swisspro:P03023"
BBa_K1520015,"negative_regulators:1;ligands:tetracycline;direction:Forward;o_h:NA;protein:TetR;positive_regulators:NA;tag:LVA;o_l:NA;biology:NA;function:Rep;control:IPTG, lacI;swisspro:P04483"
BBa_K1520023,"n/a:constitutive promoter family member;direction:Forward;function:Mixed;o_h:NA;positive_regulators:NA;ec_num:none;control:luxR, HSL;o_l:NA;kegg:none;negative_regulators:NA;swisspro:P12746;tag:None;biology:NA;ligands:HSL;uniprot:P48445;protein:LuxR;control:IPTG, lacI;positive_regulators:1"
BBa_K1520024,"n/a:constitutive promoter family member;direction:Forward;positive_regulators:NA;o_h:NA;biology:NA;ec_num:none;control:luxR, HSL;o_l:NA;kegg:none;negative_regulators:NA;swisspro:P12746;tag:None;function:Mixed;ligands:HSL;protein:LuxR;uniprot:P48445;positive_regulators:1;control:IPTG, lacI"
BBa_K1520021,"direction:Forward;o_h:NA;control:luxR, HSL;o_l:NA;negative_regulators:NA;positive_regulators:1"
BBa_K1520025,"negative_regulators:1;direction:Forward;positive_regulators:NA;o_h:NA;ligands:tetracycline;protein:TetR;tag:LVA;o_l:NA;biology:NA;function:Rep;control:aTc, tetracyline;control:IPTG, lacI;swisspro:P04483"
BBa_K1520022,"n/a:constitutive promoter family member;direction:Forward;function:Mixed;o_h:NA;positive_regulators:NA;control:IPTG, lacI;protein:LuxR;protein:luxI-LVA;ec_num:none;control:luxR, HSL;o_l:NA;kegg:none;negative_regulators:NA;uniprot:P48445;tag:None;biology:NA;ligands:HSL;tag:LVA;swisspro:P12746;positive_regulators:1;swisspro:P12747"
BBa_K1520026,"n/a:constitutive promoter family member;negative_regulators:1;ligands:tetracycline;direction:Forward;o_h:NA;positive_regulators:NA;protein:TetR;protein:LacI;tag:LVA;o_l:NA;negative_regulators:NA;biology:NA;function:Rep;control:aTc, tetracyline;ligands:allolactose, IPTG;swisspro:P03023;swisspro:P04483"
BBa_K1520508,direction:Forward;protein:luxI-LVA;ec_num:none;kegg:none;uniprot:P48445;tag:LVA;swisspro:P12747
BBa_K1520510,"n/a:constitutive promoter family member;direction:Forward;function:Mixed;o_h:NA;protein:luxI-LVA;ec_num:none;control:luxR, HSL;o_l:NA;kegg:none;negative_regulators:NA;uniprot:P48445;biology:NA;ligands:HSL;tag:LVA;positive_regulators:1;swisspro:P12747"
BBa_K1520509,"n/a:constitutive promoter family member;negative_regulators:1;ligands:tetracycline;direction:Forward;o_h:NA;positive_regulators:NA;protein:TetR;tag:LVA;o_l:NA;biology:NA;function:Rep;control:aTc, tetracyline;swisspro:P04483"
BBa_K1520511,direction:Forward;protein:luxI-LVA;ec_num:none;kegg:none;uniprot:P48445;tag:LVA;swisspro:P12747
BBa_K1520512,direction:Forward;protein:luxI-LVA;ec_num:none;kegg:none;uniprot:P48445;tag:LVA;swisspro:P12747
BBa_K1520514,"n/a:constitutive promoter family member;negative_regulators:1;ligands:tetracycline;direction:Forward;o_h:NA;protein:TetR;positive_regulators:NA;tag:LVA;o_l:NA;biology:NA;function:Rep;control:aTc, tetracyline;swisspro:P04483"
BBa_K1520515,"n/a:constitutive promoter family member;direction:Forward;positive_regulators:NA;o_h:NA;protein:luxI-LVA;ec_num:none;control:luxR, HSL;o_l:NA;swisspro:P12746;negative_regulators:NA;tag:None;kegg:none;function:Mixed;ligands:HSL;protein:LuxR;tag:LVA;positive_regulators:1;uniprot:P48445;swisspro:P12747"
BBa_K1520513,"n/a:constitutive promoter family member;negative_regulators:1;ligands:tetracycline;direction:Forward;o_h:NA;protein:TetR;positive_regulators:NA;tag:LVA;o_l:NA;biology:NA;function:Rep;control:aTc, tetracyline;swisspro:P04483"
BBa_K1520516,"n/a:constitutive promoter family member;direction:Forward;o_h:NA;protein:luxI-LVA;ec_num:none;control:luxR, HSL;o_l:NA;kegg:none;negative_regulators:NA;swisspro:P12746;tag:None;function:Mixed;ligands:HSL;protein:LuxR;uniprot:P48445;positive_regulators:1;tag:LVA;swisspro:P12747"
BBa_K1520518,ligands:tetracycline;direction:Forward;protein:TetR;tag:LVA;function:Rep;swisspro:P04483
BBa_K1520519,"negative_regulators:1;ligands:tetracycline;direction:Forward;o_h:NA;protein:TetR;positive_regulators:NA;tag:LVA;o_l:NA;biology:NA;function:Rep;control:aTc, tetracyline;swisspro:P04483"
BBa_K1520520,"negative_regulators:1;ligands:tetracycline;direction:Forward;o_h:NA;protein:TetR;positive_regulators:NA;tag:LVA;o_l:NA;biology:NA;function:Rep;control:aTc, tetracyline;control:IPTG, lacI;swisspro:P04483"
BBa_K1604021,"n/a:J23100 + &#946;-carotene 15,15&rsquo;-dioxygenase  (blh gene)"
BBa_K1604020,n/a:araC-pBAD + beta-carotene
BBa_K1604022,n/a:araC-pBAD + &#946;-carotene + J23100 + blh
BBa_K1634004,excitation:470nm;excitation:NA;excitation:blue light (470nm);function:NA;function:light-sensitive ion channel expressed in body wall muscle
BBa_K1634007,excitation:NA;excitation:blue light (470nm);function:NA;function:light-sensitive ion channel expressed in the muscle of pharynx and head
BBa_K1634008,function:NA;function:the comarker of pmyo2-ChR2-YFP;function:the comarker of pmyo2-ChR2-YFP 
BBa_K1639000,n/a:Toehold-GFP
BBa_K1639014,n/a:TnrA-pAlsT-mRFP reporter system
BBa_K1648003,"n/a:mamXY,mamGC and mms Expression Cascade;n/a:Recombination Template for mamXY,mamGC and mms Operons with Promotor and Terminator;n/a:Recombination Template for mamXY,mamGC and mms Operon with Promotor and Terminator"
BBa_K1648047,n/a:Av oprF with RBS;n/a:AvOprF with RBS;n/a:RBS-OprF from Azotobacter vindlandii
BBa_K1648006,n/a:Insertion kit with GFP-nanobody
BBa_K1648002,n/a:Recombination Template for mamAB Operon with Promotor and Terminator;n/a:Recombination template for magnetosome forming operon;n/a:mamAB Expression Cascade
BBa_K1648049,n/a:J13002-oprF K189G C&#8594;S;n/a:Mutated Av oprF induced by J13002
BBa_K1648048,n/a:AvOprF induced by J13002;n/a:Av oprF induced by J13002;n/a:J13002 OprF
BBa_K1648050,n/a:nifA L120P;n/a:J13002 k1172501;n/a:PfOprF;n/a:Pf oprF
BBa_K1648051,n/a:Pf oprF with HoxKGZ flanking sequence;n/a:PfOprF with HoxKGZ flanking sequences;n/a:J13002 k1172501-hoxKGZflanking sequence;n/a:Pf oprF with HoxKGZ flanking sequences;n/a:J13002 k1172501-hoxKGZ 5' flanking sequence;n/a:J13002-K1172501 with HoxKGZ flanking sequence
BBa_K1658000,biology:NA
BBa_K1660002,chassis:E. coli BL21(DE3);device_type:NA;chassis:NA;device_type:Chemotacticum
BBa_K1660000,chassis:NA;origin:NA;function:NA;function:virulent to nematode;resistance:NA;chassis:E. coli  BW25113;origin:Bacillus nematocida B16;resistance:Chloramphenicol
BBa_K1660001,origin:Macrolepiota procera;device_type:NA;target:terminal N-acetyllactosamine and &#946;-galactosides;device_type:&#946;-trefiol lectin;function:virulent to nematode;chassis:E. coli  BW25113;target:serine protease;origin:Bacillus nematocida B16;resistance:Chloramphenicol
BBa_K1660004,tag:None;direction:Forward
BBa_K1660006,function:light sensor;chassis:NA;direction:NA;function:NA;chassis:E. coli DH5&#945;;direction:forward;resistance:NA;resistance:Chloramphenicol
BBa_K1660008,function:virulent to nematode;origin:Bacillus nematocida B16;chassis:E. coli  BW25113;resistance:Chloramphenicol;chassis:E. coli BL21(DE3)
BBa_K1660007,positive_regulators:1;negative_regulators:NA;direction:Forward
BBa_K1660003,resistance:chloramphenicol;origin:NA;resistance:NA;device_type:Chemotacticum;origin:Citrus unshiu CitMTSE1;chassis:E. coli BL21(DE3)
BBa_K1660009,origin:Macrolepiota procera;target:terminal N-acetyllactosamine and &#946;-galactosides;chassis:E. coli  BL21(DE3);device_type:&#946;-trefiol lectin;function:virulent to nematode;chassis:E. coli  BW25113;resistance:Chloramphenicol
BBa_K1675005,biology:NA;biology:Escherichia coli str. K-12 substr.
