Year,Team,SimpleDescription
2009,Johns_Hopkins-BAG,The Johns Hopkins team presents the work of a Build-a-Genome ctheirse that fabricates synthetic yeast genome Sc2.0 and provides students tools to meld seamless arrays of DNA into redesigned synthetic chromosomes. This team is part of a larger effort to develop new technologies and standards for synthetic genomic construction allowing for the production of longer more complicated DNA sequences without certain constraints of current Biobrick standards. ,
2009,Freiburg_bioware,"They want to create an universal restriction enzyme to facilitate labwork and enable new techniques. In both universal restriction enzyme strategies this team does not cut the double strand but rather nick the stand opposite to guide oligonucleotide. Thus, guide oligonucleotide only needs to be added only in catalytic quantities. The nicking feature is already present in the Argonaute proteins. In the case of the universal Fok-based enzyme they use a heterodimer design combined with cleavage inactivating mutations for one monomer. ",
2009,IBB_Pune,"This project exports tag synthesis and inducible export of desired proteins for in vivo simulation of the SNOWDRIFT game.And it makes bacterial turing machines.And it inducibles natural competence.
",
2009,Heidelberg,"This project has manufactured a?library of promoters.And it has developed and successfully applied a?synthesis method?for?synthetic promoters, and a strategy for their rational design. Its promoters can only be induced by predefined transcription factors. This claim that any synthetic promoter can be constructed by their methods.",
2009,Freiburg_software,This project is a collaborative theyb based software for synthetic biology research.And it creating a software interface on top of Google Wave. And it is an access to a large pool of sequence data.,
2009,IIT_Madras,This project is based on the fundamental concept of plasmid instability in a novel way to conceal information or ‘lock’ a gene’s function in a cell until the correct combination of inputs is fed into the cell. This is called  a ‘combinatorial lock’ or PLASMID. It involves the positive regulation of the gene of interest only on receiving the correct inputs from the user.?,
2009,EPF-Lausanne,"This project is to demonstrate the ability of light-sensitive fusion proteins to regulate gene expression through light control. For this purpose, they selected the LovTAP hybrid protein, designed by Strickland et al. and made available to us by Prof. Sosnick from the University of Chicago.",
2009,IIT_Bombay_India,This project wanted to quantify how the protein expression in a cell changes due to presence of multiple feedback loops. It developed 4 mutant strains of E. coli. Beta-galactosidase responsible for growth on lactose medium was then used to characterize the phenotypic property of specific growth rate. Experimental results theyre used to verify the simulated models.,
2010,Purdue, A synthetic biological circuit has been developed indicating when low oxygen levels are present in plants. ,
2010,Yale,"Based on precedence of naturally redox-capable bacteria, they generated a system in E. coli that reduces metal in solution.",
2010,Tec-Monterrey,"By binding viruses, their want to design ViroCatcher cells that cannot support viral replication to diagnose, attenuate, and prevent infection",
2010,Kyoto,"For controlling cell death, they designed 'Lysisbox' consists of a pair of modules: 'Killer gene' and 'Anti-killer gene.'",
2010,WITS-South_Africa,"In this project, the concept of a whole-cell biosensor has been adapted for medical use as a diagnostic for viral infection through engineering a commensal bacterium.",
2010,DTU-Denmark,"The aim of this project is to engineer a genetic bi-stable switch that produces two different, mutually exclusive outputs when given two different inputs.",
2010,ESBS-Strasbourg,The aim of this project is to engineer a new fundamental component that could be universally used to build more complex biological circuits.,
2010,VT-ENSIMAG_Biosecurity,The GenoTHREAT software is the first implementation of the sequence screening procedure outlined in the guidance.,
2010,NYU,The goal of this project is to increase the speed and efficiency of the antibody discovery process.,
2010,METU_Turkey,Their aim is to develop a cell sensor which can detect a wide range of CO concentration in the environment.,
2010,Waterloo,Their engineered E.coli have the ability to eavesdrop on the activity of the pathogenic organism and emit an indication of the magnitude of the infection in the form of RFP.,
2010,MIT,"Their goal is to produce adaptive, living biomaterials that can be reliably controlled in two different systems: mammalian cells and bacteria.",
2010,UNAM-Genomics_Mexico,Their goal is to render the chemical barrier deprecated by using a non-chemical herald: photons.,
2010,Groningen,"Their idea is to engineer Bacillus subtilis which when applied to a surface, automatically forms a hydrophobic biofilm coating.",
2010,Warsaw,Their program is a universal platform for protein and DNA delivery to the mammalian cells.,
2010,Freiburg_Software,"Their project is an open-stheirce, Synthetic Biology software suite based on Google's open-stheirce communication tool Wave",
2010,TU_Munich,They aim at the development and experimental demonstration of a scalable approach for the realization of logical functions in vivo.,
2010,Uppsala-Sweden,They aim to build a biological entity that could process a specific input signal and responds accordingly.,
2010,INSA-Lyon,They aim to control Polyhydroxyalcanoates granules (PHAs) production in E.  coli.,
2010,Harvard,They aim to create a toolkit for the cultivation of a personalized garden containing features introduced through synthetic biology.,
2010,UT-Tokyo,They aim to create bacteria that collectively solve the popular puzzle game Sudoku.,
2010,Osaka,They aim to develop micro-machines that can stop and even reverse desertification by recovering vegetation in these areas. ,
2010,Macquarie_Australia,They aim to engineer a 'light switch' within E. coli by introducing a photoreceptor from non-photosynthetic bacteria. ,
2010,Tokyo_Tech,"They aim to have two types of E.coli that help each other to survive at daytime, whereas competing at nighttime when cocultured.",
2010,uOttawa,They aim to solve the problem of lack of characterized components by contributing a library of theyll-characterized yeast toggle switch components with varying dynamics.,
2010,British_Columbia,They aims to break new ground at iGEM by using S. aureus as a model host and developing a standard for genetically engineering bacteriophages.,
2010,Michigan,They aims to improve the economics of algal biofuel production by creating a cost efficient microalgae bioflocculant out of E. coli.,
2010,Tokyo_Metropolitan,They aims to make low cost and high efficiency cellulose factories where E.coli works.,
2010,Calgary,They are going to over-express recombinant proteins in microorganisms.,
2010,Lethbridge,They are targeting catechol for degradation into common metabolic intermediates of the Krebs Cycle. ,
2010,Newcastle,"They built an engineered Bacillus subtilis, to repair microcracks in concrete.",
2010,SJTU-BioX-Shanghai,"They built tissue-specific promoters in the eukaryotic circuit, while inflammation factors are employed as signals of OA in the prokaryotic circuit.",
2010,Cambridge,They construct BioBricks which allow light output at a wide range of wavelengths.,
2010,ETHZ_Basel,They control the movement of a single E. coli cell by light.,
2010,RMIT_Australia,They create a biological system that will produce peptides at a low economic cost. ,
2010,TzuChiU_Formosa,"They create a device contained sensing, synthesis, and lysis system which is operated in E.coli.",
2010,UIUC-Illinois,They create a set of endogenous and artificial sRNA regulator Biobricks to be used in cellular stress responses and which contribute to bistability in artificial gene circuits.,
2010,LMU-Munich,They create an artificial metabolic pathway for the synthesis of azobenzene derivates in E. coli.,
2010,UNIPV-Pavia,They design three modular systems to overcome the problems about large-scale production and purification of recombinant proteins.,
2010,USTC,"They design, model and construct a platform for artificial organelles.",
2010,SDU-Denmark,"They designed a biological system in E. coli that can induce flow and increase mixing in a fluid, essentially working as a microscopic flow actuator.",
2010,IvyTech-South_Bend,They designed a biosensor by transforming a gram-positive bacteria host to eliminate any background autoinducer signal .,
2010,Korea_U_Seoul,They designed a heavy-metal-detecting E. coli.,
2010,Cornell,They designed a method for visualizing the interactions of mammalian cells with outer membrane vesicles by utilizing the ClyA surface protein as an attachment site for fluorescent proteins.,
2010,TU_Delft,"They designed a system that can tolerate, sense, dissolve & degrade hydrocarbons in aqueous environments.",
2010,Wisconsin-Madison,They designed a universal platform for polypeptide release within the small intestine of the human gut.,
2010,Brown,They designed an E. coli genetic circuit that can pass through ftheir stable states of protein production triggered solely by ON/OFF patterns of light.,
2010,ArtScienceBangalore,They designed an ecosystem in which organisms designed for a techno-scientific environment interact with organisms in the wild.,
2010,Alberta,"They designed an inexpensive self-contained kit called GENOMIKON, currently targeted for the high school and DIY communities but with clear potential for professional use.",
2010,Nevada,They designed stress-inducible promoters used in plants and shotheyd the advantages of using Nicotiana tabacum protoplasts,
2010,Stanford,They designed two types of ratio-measuring sensors. ,
2010,Washington,"They designed, built, and tested two new systems to fight infections by both broad types of bacteria - Gram-positive and Gram-negative.",
2010,Debrecen-Hungary,They developed a kit with a variety of lipid responsive domains for the rational construction of synthetic transcription factors.,
2010,UTDallas,"They developed some novel whole-cell biosensors that can detect alkanes, aromatics and nitrates.",
2010,CBNU-Korea,They employed some essential genes and contstructed a tiny miniature of V.cholerae's two chromosome system in E.coli,
2010,Mexico-UNAM-CINVESTAV,"They enables Escherichia coli to produce an antifreeze protein, AFP at less than 15 degrees Celsius.",
2010,Heidelberg,They engineer a toolkit for standardized measurements of interactions bettheyen artificial miRNAs and their binding sites.,
2010,IIT_Madras,"They engineer pro-biotic lactic acid bacteria to produce Monellin, a heat and pH stable stheyetening protein.",
2010,Imperial_College_London,"They engineered a fast, modular sensor framework.",
2010,Berkeley,They engineered E. coli to deliver proteins and/or DNA payloads into some bacteria-devtheiring eukaryotes.,
2010,Hong_Kong-CUHK,They explored the possibility of harnessing a biological system as an alternative solution for data en/decryption and storage.,
2010,Stockholm,They fight skin disorders using novel cell-penetrating peptides.,
2010,UCSF,They focus on improving the specificity and killing efficiency of cytotoxic cells towards certain cancer types.,
2010,Tsinghua,"They focus on simulating antibody generation and selection technology with Bacteria, thus develops a new Antibody Production Method.",
2010,IIT_Delhi_1,They focuse on integrating these two components to create a device capable of responding to external stimuli in the form of quantitative protein production.,
2010,Davidson-MissouriW,They focused on the Knapsack Problem.,
2010,Freiburg_Bioware,"They generated a recombinant, modularized, BioBrick-compatible AAV 'Virus Construction Kit'.",
2010,Monash_Australia,"They has identified that ethylene, a common organic compound, is under increasing production demands by the plastics and food industries.",
2010,WashU,"They has introduced a synthetic alternative splicing tool, as theyll as designed and produced new BioBricks parts to ease transformation of synthetic constructs into S. cerevisiae.",
2010,St_Andrews,They have explored rearranging the network architecture of the Lux system to give bistable expression.,
2010,Peking,They have method to engineer bacteria into heavy metal decontamination kits.,
2010,Minnesota,They identify and transform the genes encoding proteins responsible for the production and assembly of bacterial microcompartment.,
2010,Tianjin,They make some Saccharomyces cerevisiae which could synthesize lignin degrading enzymes and put them on the out surface of the yeast.,
2010,Toronto,"They present a design, modeling and baseline experiments aimed at demonstrating optimization of catechol degradation.",
2010,Valencia,They present an intermediate scenario in the pathway towards Mars Terraformation.,
2010,KAIST-Korea,They present DiscoverY that is capable of diagnosing multiple diseases.,
2010,Tokyo-NoKoGen,"They propose an entirely new Escherichia coli micro machine that behaves like a tanker, the EcoTanker.",
2010,METU_Turkey_Software,They provide alternative pathway choices to users for construction of the most reliable devices with respect to given inputs and expected outputs,
2010,NYMU-Taipei,They speed up the reporting response of bacterial gene expression.,
2010,KIT-Kyoto,They suggests an 'E.coli Pen' as a new Art Tool.,
2010,Panama,They use genetic engineering as a tool to integrate genetic parts for rhamnosiltransferase 1 complex (rhlAB) gene expression in Escherichia coli for standardized rhamnolipid production.,
2010,UC_Davis,They use related design principles to synthesize spatial patterning in bacterial populations. ,
2010,Queens-Canada,"This collection includes useful promoters, reporters, effectors, and a terminator.",
2010,Edinburgh,This is a protocol for markerless insertion of BioBricks onto the bacterial chromosome,
2010,BCCS-Bristol,"This lab has developed and characterised a cheap, versatile soil fertility sensor based on an E.coli chassis. ",
2010,HKUST,This project aims at establishing an interspecies quorum quenching system to sense and reduce the virulence of potentially pathogenic Staphylococcus aureus.,
2010,Duke,This project aims to produce a genetic transistor which does not exhibit basal regulatory noise.,
2010,EPF_Lausanne,This project aims to stop malaria propagation by acting on the vector: the mosquito.,
2010,Virginia_United,This project demonstrates quorum sensing through experimentation and modeling.,
2010,Utah_State,This project develops a system to engineer the genome of the photosynthetic cyanobacterium Synechocystis sp. PCC6803.,
2010,Baltimore_US,This project expands the accessibility of Taq Polymerase by engineering it in a form compatible with BioBrick assembly.,
2010,GeorgiaTech,This project has focused on cloning the AOX gene to induce a thermogenic response to a cold-shock and selecting an appropriate calorimetric technique. ,
2010,BIOTEC_Dresden,"This project is a reliable and modular system for antigen recognition, signal amplification and quantification.",
2010,NCTU_Formosa,This project is an engineered E. coli secreting crystal proteins isolated from Bacillus thuringiensis to kill mosquito larvae.,
2010,HokkaidoU_Japan,This project is on Type lll Secretion Apparatus which is one of the most amazing biological devices.,
2010,Gaston_Day_School,This project is to create a biological iron detector using techniques and procedures available to an ordinary high school laboratory that replicate methods used in university research laboratories.,
2010,ULB-Brussels,This project is to design a genetically engineered Escherichia coli which could be used for hydrogen production.,
2010,HKU-Hong_Kong,This project limits the survival of bacteria according to tailored conditions. ,
2010,ZJU-China,This software targets at the coding sequence of biobrick itself.,
2010,Caltech,"This team aims to create and print a bioplastic, polyhydroxybutyrate (PHB), from soybean oil using E. coli.",
2010,UCL_London,"This team aims to create 'independent' cells in which the production phase is triggered by an external stimulus, removing the need for IPTG.",
2010,UPO-Sevilla,This team aims to exploit chemotaxis for directing a relatively small population of bacteria to interact efficiently with a non-diffusible target exposed on a biotic or abiotic surface.,
2010,Sheffield,"This team designed a multi-target, water-borne pathogen detection system. ",
2010,USTC_Software,This team devoted to the development of an experimental video game which aims at instructing non-biologists to design and improve biological systems.,
2010,Bielefeld-Germany,This team dmodulate an Agrobacteria receptor in E.coli in order to detect capsaicin which is responsible for the hot taste of chilies.,
2010,Chiba,This team is constructing genetic double-click system whose output is released only when the input is given twice within a limited time.,
2010,Slovenia,This team is designing a cell based system in which they will be able to control the sequence of steps in a multi-step biosynthetic pathway.,
2010,The_Citadel-Charleston,"This team is working to express the PYY family of peptides in E.coli, to implement a secretion pathway for those peptides.",
2010,Johns_Hopkins,This team presents a library of characterized Crz1-sensitive promoters of both naturally-occurring and synthetic varieties.,
2010,Penn_State,To monitor oxygen contamination they create and oxygen bio-sensor in E. coli which produces an anaerobic fluorescent protein.,
2010,Aberdeen_Scotland,"Using cell cytometry (FACS) and fluorimetry, they demonstrated in yeast the successful expression and translational regulation of a fusion of mRNA binding protein and fluorescent protein. ",
2011,TzuChiU_Formosa," Gluconacetobacter hansenii is a bacterium which produces bacterial cellulose. It has an acs operon, consisting of genes that called acsAB, acsC, and acsD. Together these genes used UDP-glucose as substrate and synthesize. they aim to clone acs operon and transform it into environmental friendly and economical microbes in order to produce large amount of cellulose for paper industry. 
",
2011,UNICAMP-EMSE_Brazil," The ability of some bacteria to sense stress hormones such as Catecholamines will be used to produce Interleukin-12 and inducing Th1 lineage. On the other hand, the ability to sense Nitric-Oxide released in inflammatory conditions will be used to trigger Interleukin-10 production, counteracting excessive immunity. A switch control system will sustain the balance. The 'Jedi Bacteria' containing these devices would be a useful probiotic to fight against the battle imposed by stress.""",
2011,Bard-Annandale,"A directional quorum sensing system was made using E. coli immobilized in a microfluidic chip. One strain of E. coli carrying the LuxI and LuxAB genes was trapped in hydrogel at one end of microfluidic channel.  
Acting as an analog of zener diode, this device is capable of controlling the direction of communication bettheyen the E. coli. The orthogonal visual responses, one fluorescent and one luminescent, should be clear indicators of which way communication took place. 
",
2011,UEA-JIC_Norwich,"As the first iGEM team at UEA and in co-operation with the JIC, they felt that they could make a significant contribution to plant based synthetic biology. The overall aim of their project is to help develop and where possible pioneer some of the fundamental technologies and methodologies needed to make plant based synthetic biology projects possible. 
",
2011,Hong_Kong-CUHK,"Control of gene switch by phototuningConventional induction systems usually involve addition of a chemical agent that functions either by turning on or off an output event, which is equivalent to flipping an on/off switch.  In their project, they aim to replace such analog system with a phototunable cascade, which can trigger a measurable output (e.g. gene expression) according to the wavelengths, intensities, and durations of a light stheirce in a quantitative manner.  
",
2011,Cornell,"Cornell's 2011 iGEM team has designed a new, scalable, and cell-free method to produce complex biomolecules. Biofactory utilizes modified enzymes, capable of being attached to surfaces, in the creation of a modular microfluidic chip for each enzyme. The surface bonding is performed by the theyll characterized biotin-avidin mechanism. When combined in series, these chips operate as a linear biochemical pathway for continous flow reactions. 
",
2011,KAIST-Korea,"E. Casso is an E. coli system engineered to perform art. The system consists of two types of genetically modified E. coli: the random signal generating E. coli ('Brush E. coli') and the color generating E. coli ('Paint E. coli').Paint E.coli possesses plasmids that express one of ftheir colors (red, cyan, yellow, and green) by producing fluorescent proteins in response to the type of quorum it receives from Brush E.coli. 
",
2011,Dundee,"Here, a synthetic microcompartment ('The Sphereactor') was designed and built. This was assisted by the creation of new mobile apps and theyb-based tools for DNA analysis. A synthetic operon was constructed, based on the pduABJKNTU genes from Salmonella, that assembled into the empty Sphereactor, which was also affinity-tagged to allow its isolation for downstream applications. A new targeting sequence comprising 20 residues of PduD was shown to target GFP into The Sphereactor. 
",
2011,Imperial_College_London,"In an effort to combat soil erosion, they have developed the AuxIn system. This system is comprised of three modules combined in an E. coli chassis. The first involves secretion of the plant growth factor indole 3-acetic acid (auxin).  The second module rewires the chemotactic mobility of the cell by introducing a novel receptor protein which is sensitive to root exudates. The final module uses a toxin-antitoxin system to prevent horizontal gene transfer. 
",
2011,ETH_Zurich,"SmoColi is a bacterio-quantifier of acetaldehyde concentration that can be used as a passive smoke detector.   The SmoColi cells are immobilized in an agarose-filled microfluidic device. The sensor is linked to a band-pass filter that drives GFP expression. This allows establishment of an input-concentration-dependent, spatially located fluorescent band displaying quantitative information about acetaldehyde. .
",
2011,UT-Tokyo,"some devices have often been limited by the requirement of a high cell density at the target site in order to achieve higher efficiencies. To overcome this, they devise an inducible self- assembling system in Escherichia coli utilizing L-aspartate (L-Asp) chemotaxis. Using E. coli-derived stress-sensitive promoters cloned de novo, they provide evidence that their system enables auto-assembly and localization after exposure to ultraviolet radiation. 
",
2011,UNITS_Trieste,"The aim of their project is thus to combine cell types belonging to different kingdoms using synthetic biology. The innovation and challenge will be to obtain a stable communication bettheyen different kingdoms and establish mutualism among them. This interdependence will be obtained through metabolic and signaling pathways in which the survival and/or growth of each cell type depends on the others. 

",
2011,Penn,"The goal of this project was to demonstrate light-based cell signaling in mammalian cells. Using luminescent proteins and optogenetic tools, they constructed 'Sender' and 'Receiver' HEK 293T cells which send and receive blue light, respectively.  Since the luciferases in this system require an externally added luciferin substrate, they have also been developing Pre-coelenterazine, a genetically encoded luciferin which could allow their system to function autonomously. 
",
2011,Baltimore,"The overall mission of their team is to attempt to overcome some practical barriers to entry of groups and laboratories that may not be theyll-funded or may not have the capital requirements to realize their synthetic biology dreams. They approach this problem from two angles- 'theyt-ware' and 'dry-ware.' Their theyt-ware goal this year is to provide a way for anyone to be able to make their own Taq polymerase instead of having to purchase it. Their dry-ware goal this year is to create a prototype for a PCR machine that can be assembled from an inexpensive kit.
",
2011,TU-Delft,"The project will give Escherichia coli a simple, effective and controllable mechanism for biofilm formation based on the strong glue from mussel feet.  Using highly sensitive TIRF  microscopy and atomic force measurements  they visualize and characterize the localization and attachment of cells. Combining these results with their mathematical models allows you to predict the attachment speed and stability as theyll as cell clustering and settling. 
",
2011,Rutgers,"The Rutgers iGEM Team designed two complex genetic circuits, Etch-a-Sketch and Full Adder, and created a software tool, MYS!S. The Etch-a-Sketch circuit enables a lawn of bacteria to be drawn on with a laser. . The second circuit allows bacteria to emulate a digital full adder. The circuit makes use of individually non-functional split reporters that can reform functional reporters with the help of fused 'zipper' domains. MYS!S aims to improve the parts registry by checking and giving directions to modify Biobricks to conform to assembly standards. 
",
2011,WashU,"The WashU iGEM team hopes to address this issue by creating a transgenic strain of Saccharomyces cerevisiae (baker's yeast) that produces beta-carotene, the precursor to vitamin A. The WashU team created ftheir DNA constructs for homologous recombination into the S. cerevisiae genome that will catalyze the production of beta-carotene. 
",
2011,METU-Ankara,"Their aimed to design a device which will work on E.coli that provides solutions for side effects of methane. Device that they are planning to construct involves the genes of bacteria (Methylococcus capsulatus) and insect (Drosophilia melanogaster) their compact system in E.coli is fabricated as sensation of methane, the conversion of methane to methanol and then entrapment of methanol to handle for biofuel and death of bacteria at 42 C by kill switch mechanism.""
",
2011,Colombia,"Their objective is to create a bacterial 'detect and alert' system as an aid for defending coffee plantations against fungi (rust). Their bacteria will detect chitin,  if it decides that there is a threat it will produce a second signal that mimics the internal alarm system of the plant to activate the hypersensitive response. The design is modular to allow other combinations of fungus-host plant systems to be created easily.
",
2011,WHU-China,"Their project focuses on constructing colorful E.coli, which includes two parts. They plan to construct two systems consisting of several strains of E.coli: one produces different pigments due to the change of time, and the other produces different pigments with the change of position.
",
2011,HokkaidoU_Japan,"They designed a plasmid backbone which can instantly produce ready-to-inject fusion proteins from ordinary biobrick part. Using it, they tried to further characterise this system by injecting a library of protein domains.
",
2011,XMU-China,"They have developed a series of devices which program a bacteria population to maintain at different cell densities.  The cell density is influenced by the expression levels of a killer gene (ccdB) in their device. They have successfully controlled the expression levels of ccdB by site-directed mutagenesis of a luxR promoter (lux pR) and error-prone PCR of gene luxR.
",
2011,Michigan,"This project aims to utilize the specificity of zinc finger protein to direct binding of Escherichia coli to oligonucleotides bound on surfaces. The fusion protein engineered to contain a fragment of the OmpA membrane domain and a zinc finger domain allows the protein to be expressed on the outside of the cell while remaining bound to the host cell.
",
2011,TU_Munich,"This year, they aim to develop a light-controlled 3D-printer by innovative utilization of optogenetics. As a first step, they want to develop a genetic logical AND-gate sensitive to light of two different wavelengths (e.g. blue and red light). The bacteria are then immobilized in a transparent gel matrix, where they can be precisely actuated when hit by both blue and red light at the same time. If both of these inputs are positive, gene expression is induced. Various different gene products can be expressed using this system. 
",
2012,NRP-UEA-Norwich," A flexible dual promoter was determined in both mammalian and bacterial chassis. This system thus allows for the detection of any chemical, providing the promoters have overlapping specificity.
",
2012,CBNU-Korea," By the this team's software tools, user can design minimal genomes by essential genes which are analogized by their team in this year and also design new bio-bricks.
",
2012,Groningen, iGEM Groningen 2012 seeks to provide an alternative method of assessing edibility: The Food Warden.,
2012,Waterloo," Introns, self-excising ribozymes, can become a useful tool to create in vivo protein fusions of BioBrick parts. The team use intron sequences to flank non-protein parts embedded in coding sequences. ",
2012,Yale," Multiplex Automated Genome Engineering (MAGE) has to date only been introduced in E. coli. For this project, they designed and created a universal test cassette system to introduce MAGE to diverse bacteria as theyll as a library of homologs for testing.",
2012,RHIT, The goal of their project is to reduce the time that determine the mating type of haploid strains from days  to htheirs with the help of yeast Saccharomyces.,
2012,Frankfurt," The iGEM Team Frankfurt wants to transfer the pathway of the plant into baker yeast (Saccharomyces cerevisiae) to make stevia production much cheaper. Furthermore microbial production of these stheyetening compounds could also lotheyr the environmental costs of Stheyetener production. 
",
2012,KAIST_Korea," The team's project consists of two parts : CO2 Fixation Pathway Pathway Switching Module. 

",
2012,NYU_Gallatin," They altered the properties of the cellulose mats by engineering Acetobacter to express enzymes that synthesize N-acetyl glucosamine, a subunit of chitin. Besides, They have also engineered colors into the mats.
",
2012,NTNU_Trondheim," They developed a genetic circuit that makes E.coli cells able to release toxic molecules only when in presence of cancer cells so that  normal chemotherapy can do less harm to healthy cells in addition to cancer cells
",
2012,Leicester," To construct BioBricks from the genes encoding enzymes involved in this pathway and manipulate their expression and properties to maximise the rate of polystyrene degradation. 
",
2012,Technion," Viruses can be described as complex 3D structures capable of efficient infection of their target organism. ""smart"" therapeutic strategies which rely on an agent that can effectively analyze the cellular environment and compute an appropriate response has been develpoed in this project based on bactriophage-lambda.
",
2012,WLC-Milwaukee,"A common challenge when using non-native genes in metabolic engineering is determining if they are being properly expressed. To address this issue, this project have constructed a BioFusion compatible system for testing the translation of a gene of interest.",
2012,UTP-Software,"A program to help new IGEM teams with assembly standards selection, and site-directed mutagenesis for primers development in case of incompatibility, is this year UTP-Software team project.",
2012,Colorado_State,"Aimed to design and create a yeast strain capable of both fermenting quality beer, and breaking down gluten. ",
2012,BostonU,Aims to introduce a standardized protocol for the characterization of genetic circuits using flow cytometry. They built and characterized various genetic circuits using MoClo Parts. Besides a standard datasheet has been created.,
2012,uOttawa_CA,Aims to tackle this problem by characterizing parts and improving gene assembly by taking advantage of S. Cerevisiae's ability to exist in both the haploid and diploid form. ,
2012,NYC_Hunter_Software,"An abstract software model and kinetic reaction model of the bacterial XOR gate they designed on their theyt lab team have been made by this team. Besides, they also demonstrated how biological logic gates could be assembled through hypothetical manufacturing processes into complex computational circuits.",
2012,SUSTC-Shenzhen-A,"An app of database of Partsregistry has been developed by this team. Users can search parts and devices by type, by category, by keywords, etc.  Their online survey shows  it has positive effects on ranking results.",
2012,Uppsala_University,"As the discovery of new antibiotics lags behind, they are developing new methods for targeting the resistance itself  - making resistant bacteria sensitive to old antibiotics once again.",
2012,Johns_Hopkins-Software,Autogene is an innovative CAD tool used to automate the design process of synthetic DNA sequences.  It also provides an effective solution to the Registry of Parts for annotation automation and pathogen sequence detection. ,
2012,UNAM_Genomics_Mexico,"Bacillus booleanus is a project that wants to create a molecular computer  working on the creation of different strains of Bacillus subtilis, each one will be able to perform a single Boolean operation just like a transistor. ",
2012,Korea_U_Seoul,"Based on previous researches, it was proven that bacterial rax gene complex (rax A, B, C, P, Q, R, H) and their protein products(Ax21) are responsible for BLB. So they decided to make synthetic bacteria that detect Ax21 and furthermore, kill them.
",
2012,SYSU-Software,BiArkit is a versatile toolkit that integrates different modules together and helps researchers approach information on synthetic biology. ,
2012,Evry,"Building on a long-standing French fascination for frogs, they wanted to spread this enthusiasm to the world of synthetic biology by introducing a new, vertebrate chassis to the community: Xenopus tropicalis. ",
2012,Tianjin,"By mutate the basepair in the SD and ASD sequence, they produced an orthogonal translation system where the canonical ribosome cannot translate the orthogonal mRNA, and vice versa. ",
2012,Costa_Rica-TEC-UNA,"Cibus 3.0 takes biodiesel production to a new level. Their idea consists in the modification of two bacteria: Rhodococcus opacus and Escherichia coli, both maintained in whey based medium.",
2012,UC_Davis,"For transforming the recycling industry by altering the economics of waste processing, the team have engineered a model organism, E. coli, to degrade polyethylene terephthalate (PET), a common plastic found in soda bottles, carpets, clothing, food packaging, and even space blankets. ",
