 Team  ,Year,SimpleDescription,Description,Keywords,Chassis
Groningen,2015,Engineering a Bacillus subtilis biofilm to function as a cation exchange membrane to generate energy.,"We engineer a Bacillus subtilis biofilm to function as a cation exchange membrane. Such a membrane can be used in Reverse Electrodialysis (RED), a technique to generate energy where salt and fresh water mix, for example where rivers flow into the sea. To make the Bacillus subtilis suitable for RED, we first make it more robust by overexpressing the biofilm genes tasA and bslA while preventing reversion to the motile state by knocking out the abrB regulator and overexpressing slrR, another biofilm regulator. Simultaneously, the amino acid polymer gamma-polyglutamic acid was modelled extensively and was proved it could be used to make the biofilm ion selective.",biofilm; STRUCTURAL FIBRES; HYDROPHOBIC COATING; salt,Bacillus subtilis
LaVerne-Leos,2015,Using Zeaxanthin and Tocopherol to protect cyanobacteria from the toxic effects of free fatty acids,"Free fatty acids are biofuel precursors. We focused on using zeaxanthin to counter the toxic effects of increased free fatty acids in an altered Synechococcus elongatus 7942 strain. Zeaxanthin acts as an antioxidant, stabilizes the membrane, and is needed for electron transport chain function. To increase the concentration of zeaxanthin and its precursors, we introduced a circuit containing parts of the zeaxanthin synthesis pathway. The La Ca?ada subset of our team focused on tocopherol, a metabolite that has similar properties to zeaxanthin in cyanobacteria. Tocopherol acts as an antioxidant, protects the cell from lipid peroxidation, and enhances photosynthesis. A circuit was made with the gene p-hydroxyphenylpyruvate dioxygenase to catalyze the formation of homogenistic acid, the rate limiting step of tocopherol synthesis. In an attempt to further increase the production of fatty acids, both zeaxanthin and tocopherol circuits are dynamically regulated, utilizing a fatty acid-sensitive promoter-repressor system, pLR and FadR.",Fatty acid; Zeaxanthin; Tocopherols ,E. coli; Cyanobacteria
Macquarie_Australia,2015,Engineering the chlorophyll biosynthesis pathway and photosystem II in E. coli,"Photosynthesis is a key biological pathway utilized by plants and algae to generate useable energy from sunlight. Chlorophyll is a green pigment in photosynthetic organisms that aids in the manufacture of energy. Our aim is to engineer and express 13 genes of the chlorophyll-a biosynthetic pathway from Chlamydomonas reinhardtii in E. coli. While this pathway has been well characterised, reproduction of this process in non-photosynthetic organisms has not been successful. Our second goal is to synthetically engineer Photosystem II in E. coli, which consists of 17 genes. Photosystem II is a multi-subunit protein complex that generates oxygen and electrons, by oxidation of water molecules. Transferring these electrons to a hydrogenase would potentially lead to production of hydrogen on an industrial scale. Our goals are the first step towards clean and sustainable hydrogen production as a viable future energy source.",,E. coli
NTU-Singapore,2015,Usage of Shewanella bacteria in microbial fuel cells,"The world is facing an impending energy crisis due to our over-reliance on fossil fuels, which are rapidly being depleted. Hence, there is an urgent need to explore alternative energy sources that are renewable and affordable. A microbial fuel cell (MFC) is an attractive solution to the global energy crisis. It is a device that utilizes microorganisms to convert chemical energy stored in various organic or inorganic compounds to electrical current. In our project, we seek to explore the usage of Shewanella bacteria in MFCs. We are performing flux balance analysis on the metabolic network of Shewanella and are genetically perturbing different nodes in the network to determine if the power output of the MFC can be enhanced. Additionally, we are developing and characterizing new genetic parts to aid us in our engineering of the Shewanella bacteria.",microbial fuel cell (MFC),Shewanella bacteria
Purdue,2015,Development of Synthetic Yeast for Enzymatic Pretreatment of Lignocellulosic Biomass,"The production of some biofuels is inhibited by lignin, a complex organic polymer which physically blocks carbohydrate substrates and inhibits biomass degrading enzymes (BDEs). A common biofuel practice is to sequester lignin using energy-intensive thermal pretreatment. The recent development of a synthetic yeast that spatially separates lignin degradation products from vulnerable BDEs enables an efficient lignin breakdown system to reduce the energy input for biofuel production. By expressing enzymes from lignin-degrading species (termites and white rot fungi), we aim to establish a novel enzymatic pretreatment system in a yeast chassis. Six enzymes were selected for their ability to operate at room temperature and standard pH. The expressed enzymes were evaluated individually and in combination for lignin-degradation efficiency. Furthermore, we designed an additional vector to contain our genetically modified yeast using an oxygen-repressed killswitch.",lignin; biomass degrading enzymes (BDEs),Yeast J4
Reading,2015, Creating Biological photovoltaics to exploit energy from Cyanobacteria ,"Conventional photovoltaics provide a clean source of renewable energy but have the disadvantages of being expensive and containing toxic materials. This years iGEM project was to develop a cheaper, non-toxic, alternative to conventional fuel cells; using synthetic biology. Biological photovoltaics (BPV) are a promising candidate to provide an alternative. Our BPV uses the Cyanobacterium Synechocystis sp. PCC 6803 as the electron source. Using a purpose built fuel cell and Synechocystis, which has been genetically modified to improve interactions between the bacterium and the anode surface, enables the BPV to generate a greater voltage. This BPV will be considered for large scale usage in homes and communities worldwide as a cheap, simple and clean alternative to conventional energy sources.",Renewable energy;  Biological photovoltaics (BPV) ; Cyanobacteria ,Cyanobacterium Synechocystis sp. PCC 6803
TJU,2015,construction of synthetic microbial consortia MFC (microbial fuel cell) system with three species.,"MFCs are capable of converting the chemical energy stored in the chemical compounds in organic biomass to electrical energy with the aid of microorganisms. However, traditional single-strain MFC faces many practical barriers such as low current density, high cost and unstable electricity output, which seriously impede the future applications.
To solve these problems, extending engineering capabilities from single-cell behaviors to multi-cellular microbial consortia brings us new inspiration. So we establish a co-cultured MFC system with an elaborate labor division.
Based on our complicated co-cultured system, a rational designed relationship of material, information and energy is being explored. We regulate lactate metabolism, the key point of material flux, through lactate sensing system, orthogonal targeted protease degradation, etc. Additionally, we also make riboflavin as the entry point to regulate energy and information relationship. Through reconstruction of the co-cultured MFC, a more efficient and robust system is built up.
MFCs are capable of converting the chemical energy stored in the chemical compounds in organic biomass to electrical energy with the aid of microorganisms. However, traditional single-strain MFC faces many practical barriers such as low current density, high cost and unstable electricity output, which seriously impede the future applications.
To solve these problems, extending engineering capabilities from single-cell behaviors to multi-cellular microbial consortia brings us new inspiration. So we establish a co-cultured MFC system with an elaborate labor division.
Based on our complicated co-cultured system, a rational designed relationship of material, information and energy is being explored. We regulate lactate metabolism, the key point of material flux, through lactate sensing system, orthogonal targeted protease degradation, etc. Additionally, we also make riboflavin as the entry point to regulate energy and information relationship. Through reconstruction of the co-cultured MFC, a more efficient and robust system is built up.
",MFC (microbial fuel cell); co-culture,Zymophyte 1&2 ; Electriclgen;
UCSC,2015,designing microorganisms to convert plant waste into viable replacements for fossil fuels.,"The project focuses on designing microorganisms that will be able to convert plant waste into viable replacements for fossil fuels. To achieve this goal our team has four main focuses for the experiment each dealing with specific portions of the project. Our Breakdown team is dedicated to producing cellulases within our desired microorganisms to convert the cellulose in plant waste to sugars. The Fermentation team is working on altering the fermentation pathways within our microorganism to convert sugars into alcohol products by transformation of genes found in other alcohol producing microbes. Our Field team is responsible for identifying novel cellulose digesting microorganisms from high saline test sites.
", extreme salt environments; carbon; fossil fuel, Haloferax volcanii 
UNITN-Trento,2015,optimize MFC’s platform using an engineered E. coli that exploits sunlight to live better under stressful conditions and that has an increased electron production.,"Microbial Fuel Cell (MFC) technology is rapidly evolving due to interest in producing sustainable electricity. Typically, MFCs exploit complex mixtures of microorganisms in which the identity of the microorganisms are unknown. The undefined nature of the source of electrons leads to limitations in the control and optimization of the MFC. We, therefore, attempted to improve the MFC platform by exclusively using E. coli engineered to survive under stressful conditions. E. coli cells were modified to express a light-driven proton pump, which required the assembly of a cofactor synthesis pathway. The proton gradient generated upon the exposure of light was then used by the bacteria to synthesize ATP, thereby turning E. coli into a type of pseudo-autotroph. Furthermore we investigated different genetic approaches to improve the secretion of electrons from E. coli. We built an MFC prototype with our engineered bacteria that are driven by light, which we called “Solar pMFC.”",Microbial Fuel Cells (MFCs); SUNLIGHT POWER,E. coli
Westminster,2015,Energy production in Escherichia coli using exoelectrogenic genes (Mtr-pathway) found in Shewanella oneidensis MR-1 ,"Shewanella oneidensis MR-1 has the ability to adapt to both aerobic and anaerobic environments, as well as utilise a number of toxic compounds such as manganese and uranium. We have been working on introducing the Mtr pathway into Escherichia coli, in order to increase the electrical output in a microbial fuel cell (MFC). ",Microbial Fuel Cell; Mtr pathway,E. coli
Bielefeld-Germany,2013,The Bielefeld-Germany iGEM Team developed Microbial Fuel Cell (MFC) to generate electricity with a modified Escherichia coli in a self-constructed fuel cell.,"To generate electric energy with a genetically modified Escherichia coli in a self-constructed fuel cell， The Bielefeld-Germany iGEM Team investigated different genetic approaches. Using synthetic biology, they designed different BioBricks for bioelectricity generation. Specific electron transfer proteins have been compiled from a variety of organisms, in order to gain an Escherichia coli Fuel Cell platform, which turns E. coli to an electro active organism. The main challenge was to provide for an efficient electron transfer from the bacteria to the electrode. Therefore they facilitated and improved electron donation by producing electron-shuttles, so called endogenous mediators, as well as permeabilizing the cell surface by integrating large membrane porins and providing a direct electron pathway by conductive transmembrane protein structures. All these electron transport elements increased electron transfer and bioelectricity generation.","electric energy
bioelectricity
electron transfer
",E. coli 
BIT,2013,"A New Strategy to Detect Antibiotics in Milk: Based on Sensors with Controllable Bio-enhanced Blocks.In a synthetic biological way, 2013 BIT iGEM assembled the T7 RNA polymerase gene and T7 promoter as an amplification block (amplifier).","
To solve the problem of antibiotic, the sensor has been divided into two, respectively, of tetracycline and β-lactam. There is a response, for each sensor. They are all assembled in a downstream of the amplification block (amplifier) and the control block (controller). The output signal will be amplified, by adjusting the concentration of IPTG to achieve the adjustment of magnification. Amplifier by the T7 RNA polymerase gene and T7 promoter composition control block is through the downstream of the T7 promoter plus lacO and the addition of regular expression lacI, by adjusting the concentration of IPTG, lacO then adjust the boot situation achieved, the final response module for the green fluorescent protein.
","Antibiotic
Biosensor
Amplifier
",E. coli 
British_Columbia,2013,"The bacterial immune system CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) is one way in which bacteria naturally deal with phage infection in the environment and has become a powerful tool in genetic engineering, with specificity at the single nucleotide level. ","The British_Columbia iGEM Team analyzed all available sequence information from two common phage families that infect E. coli and designed the most broadly neutralizing systems possible. This work provides a proof-of-concept experiment for engineering bioreactor immunity, and provides all the sufficient modules to facilitate future engineering of CRISPR in bacteria. ","Phage
Infection
bacterial immune system
bioreactor
",E. coli
Calgary,2013,"To solve the problem of foodborne illnesses from pathogenic E. coli, iGEM Calgary is developing the FerriTALE to detect harmful E. coli, which uses engineered proteins that detect and report the presence of dangerous E. coli in a sample.","iGEM Calgary used synthetic biology to develop a system to rapidly detect the presence of EHEC in the beef industry. They designed the sensor for testing in the beef industry provides as well as in things like vegetables, water, and other livestock. By using engineered biological nanoparticles and DNA binding proteins, pathogenic DNA sequences can be detected specifically. The biosensor functions at the genomic level to detect the presence of EHEC in a sample. This system allows us to quickly identify contamination during meat processing and also provides the ability to pre-screen cattle to limit potential sources of contamination before cattle enter the processing plant.","E. coli
foodborne illnesses
detector
",
Alberta,2013,"""The Littlest Mapmaker"" is the University of Alberta's effort to create a biological computer capable of solving the Travelling Salesman Problem, a logistical challenge in which a hypothetical salesman must find the shortest route through a series of destinations.","The travelling salesman computer is built from a combination of raw DNA chemistry and bacterial colonies: first it assembles the routes by stringing genes together, treating them like roads on the salesman's map, then the bacteria sort the good routes from the bad, identifying the answer through the quantity of bacterial colonies making use of each route. The most commonly used route is the winner.","Travelling Salesman Problem
biological computer
",E. coli
ETH_Zurich,2013,"Colisweeper is an interactive, biological version of the Minesweeper computer game, based on luxI/luxR quorum sensing and chromogenic enzymatic reactions whose goal is to clear an agar “minefield” without detonating mines.","Genetically engineered Escherichia coli colonies are used as sender-cells (mines) and receiver-cells (non-mines). Mines secrete the signaling molecule N-(3-oxohexanoyl)-l-homoserine lactone (OHHL) whereas non-mines process the signal. To distinguish between OHHL-levels, a library of PLuxR promoters with various sensitivities was created through site-saturation mutagenesis. High-pass filters were constructed to control the expression of different orthogonal hydrolases in non-mines, depending on the number of surrounding mines. Additionally, the mines express their own hydrolase. A spatiotemporal reaction-diffusion model was established to evaluate and improve the system. To play Colisweeper, a colorless substrate solution is pipetted onto a colony of choice. The result is a defined color change within minutes, allowing identification of the played colony and the number of mines surrounding it.",Minesweeper game,Escherichia coli 
KU_Leuven,2013,"The KU Leuven iGEM 2013 team teach E.coli cells to hack into insects signaling systems to drive off the aphids and attract the natural predators, such as the ladybug.","The bacteria that modified by The KU Leuven iGEM 2013 team called BanAphids and it produced two pheromones. The first one is methyl salicylate, which plays a role in a plant’s defence response and is produced by the plant upon aphid infestation. The second pheromone is E-β-farnesene, which is an aphid alarm pheromone. In this system the BanAphids produce E-β-farnesene to repel aphids, while the methyl salicylate is meant to attract their natural predators such as ladybugs.","Aphids
Pheromones
plant’s defence
",E. coli
Manchester,2013,"The Manchester iGEM Team reengineered the fatty acid biosynthesis pathway of E. coli to overproduce palmitic and stearic acid and introduced two new genes, Δ9 desaturase and Δ12 desaturase, to yield oleic and linoleic acid.","The Manchester iGEM Team reengineered the fatty acid biosynthesis pathway of E. coli to overexpress the pathway of naturally occurring saturated fatty acids (palmitic (C16:0) and stearic acid (C18:0)) to result in a net increase in their production, and then insert non-native genes to introduce double bonds in stearic acid, to yield oleic (C18:1, Δ9) and linoleic acid (C18:2, Δ9,12). Producing the most widely used and valuable components of palm oil in this way would render the widespread deforestation directly associated with the palm oil industry redundant, and so would halt this relentless destruction of the environment.","fatty acid
palmitic
stearic acid
linoleic acid
",E. coli
METU_Turkey,2013,"To decrease the number of hives affected by chemical compounds, the METU_Turkey Igem Team transformed the genes coding for protein CYP6G1 and coumaric acid to Bacillus subtilis, which mutualistically live in bees' guts. ","In this project, they create a circuit which contain modified CYP6G1 gene. In this modified form, gene is changed according to Barnes – MALLLAVF amino acid sequence, which enables gene to activate in prokaryotes and we give this circuit to the Bacillus subtilis.
The construct is simple: it produces CYP6G1 protein continuously under the regulation of strong constitutive promoter Pveg and for the activation of this protein it produces cytochrome P450-reductase fCPR. After the production, protein is secreted from Bacillus subtilis which lives in Apis mellifera’s (western honey bee) midgut, it circulate through honey bees’ circulatory system and giving honey bee an imidacloprid resistance, which fruit fly has.","Bees
imidacloprid
coumaric acid
",Bacillus subtilis
Nanjing-China,2013,"Elf combined a smart atrazine radar, an amazing transporter, a recruiting system and a degrading enzyme to hunt down this die-hard. With this system, E.coli can recognize atrazine, recruit team members, and eliminate atrazine.","The Nanjing-China iGEM team utilized the ribosome switch induced by atrazine, a QS system of Plux and a degrading enzyme to control E.coil’s motility through regulating it’s CheZ gene. Therefore, E.coli can recognize atrazine, recruit team workers, and degrade atrazine. They found a transporter of atrazine, which called TRM. They also mutated the degrading enzyme, TrzN, making it better at degradation. Finally, they combined TRM and the TrzN to improve atrazine absorbance and degradation. ","atrazine
degrade
",E. coli
NYMU-Taipei,2013,"To save bees from Nosema ceranae, the culprit of colony collapse disorder, the NYMU-Taipei iGEM Team created Bee. coli. from E. coli K-12 MG1655, a bacterium residing natively in bees. ","Bee. coli is strategically designed to work as follows. First, it continuously secretes mannosidase to inhibit the sprouting of N. ceranae spores. Second, if the bee is infected, the fungus-killing-circuit with a positive feedback design will be turned on to wipe out N. ceranae. Third, if these designer weapons should fail to conquer N. ceranae, our designed bee-suicide-operon will be activated to kill the infected bee and save its companions. Fourth, a light-inducible lysis system is included to ensure our Bee. coli only lives inside of the bee. Fifth, the NYMU-Taipei iGEM Team apply encapsulation as the way to send Bee. coli into the bee. Since the capsule will only dissolve in a bee’s gut, our Bee. coli will not spread to the environment.","Nosema ceranae
Bee
",E. coli
Paris_Saclay,2013,The Paris_Saclay iGEM Team construct an Escherichia coli strain capable of degrading PCBs by introducing in the strain genes involved in PCB degradation in various bacteria and develop a sensor system to detect PCBs in the environment. ,"The Paris_Saclay iGEM Team designed an organism able to i) detect PCB and then ii) employ a sequential degradation of the PCB using both combined pathways. They used bacteria present in nature that are able to detect and degrade the PCBs, namely Burkholderia xenovorans, Pseudomonas pseudoalcaligenes KF 707 and Rhodococcus jostii RHA1.","PBCs
Polychlorobiphenyls
degradation
",E. coli
Peking,2013," Noting the abundant genomic data of prokaryotes from aromatics-rich environment, Peking iGEM applied part mining to the genetic repertoire to develop a comprehensive set of biosensors for aromatics. ","Peking iGEM applied part mining to the genetic repertoire to develop a comprehensive set of biosensors for aromatics. The transcriptional regulators for each typical class of aromatic compounds were bioinformatically determined and promoter engineering and protein engineering were performed to tune their function. To expand the detection range, enzymes in upper pathways, working as plug-ins, were coupled with biosensors to degrade aromatics to detectable compounds. For environmental detection, they construct the band pass filter to detect a certain range of concentration. Responses of biosensors equipped with band-pass filter can robustly reflect the concentration of environmental samples. ","Biosensors
Aromatics
monitoring
",E. coli
SCAU-China,2013,"The SCAU-China iGEM Team construct a p-Nitrophenol sensor and degradation system in E.coli, which is the degradation product of parathion, in order to reflect the existence of parathion and  solve the pollution problem","The SCAU-China iGEM Team construct a p-Nitrophenol sensor and degradation system in E.coli, which is the degradation product of parathion, in order to reflect the existence of parathion and  solve the pollution problem. In the first part, the SCAU-China iGEM Team need to use organophosphorus hydrolase enzyme to degrade parathion into PNP. The second part is a biosensor of the hydrolysis product P-Nitrophenol (PNP), which can reflect the existence of parathion. Besides, they design a PNP degradation system and Suicide System. ","organophosphorus compounds
Detection
degradation
",E. coli
Tianjin,2013,"The Tianjin iGEM Team constructed and characterized a device named Alk-Sensor, which can sensitively detect a wide range of alkanes and generate certain response. ","Alk-Sensor is composed of ALKR protein——a transcriptional regulatory protein, and promoter alkM. ALKR recognizes alkanes and their interaction triggered a conformation change of ALKR dimers which isomerizes the promoter-RNAP complex and led to activate the downstream genes of PalkM. Based on Alk-Sensor, the Tianjin iGEM Team built a relationship between productivity of alkanes with strain’s growth rate under certain environmental stress. Starting from this relationship they further designed a novel selection method to select out the engineered strains with highest productivity of alkanes. 

","Sensor
Alkanes
",E. coli
Tokyo_Tech,2013,"The Tokyo_Tech iGEM Team designed a story which contains a farming issue and a state switching circuit in E. coli, the life of ninja: battle and farming. ","The Tokyo_Tech iGEM Team proposed to create E. coli that mimic some of the qualities of Japan’s ancient ‘ninja’ warrior-spies. First, E. ninja changes between two states depending on whether there is E. civilian or E. samurai. Then, E . ninja throws ""shuriken"" (ninja stars) to attack E. samurai in response to 3OC12HSL, an intercellular molecule. And M13 phage are the shuriken. Finally, E. ninja retires from being an undercover warrior, and turns to farming. Their improved part for phosphate sensor and a new part for cytokinin synthesis create ""Farmer E. coli"" that could increase plant growth by synthesizing several plant hormones depending on the soil environment.","Crosstalk
Ninja
Mimic
Attack
",E. coli
TU-Munich,2013,The TU-Munich iGEM Team propose to employ transgenic plants which produce effectors for enzymatic degradation (BioDegradation) or specific binding (BioAccumulation) of pollutants.,"The autotrophic, sedentary, aquatic nature of the moss Physcomitrella patens makes it an ideal chassis for a self-renewing, low-maintenance and cheap water filter. A light-triggered kill switch prevents unintended environmental spreading by limiting viability to places where the spectrum of sun light is appropriately filtered. Furthermore, they have developed a device to implement this biological filter in an aquatic environment, investigated the application of this new technology and examined its economic feasibility. Based on results, PhyscoFilter may become a game-changing approach to improve global water quality in an affordable and sustainable fashion.  ","Degradation
water filter
kill switch
BioAccumulation",Physcomitrella patens 
Tsinghua-A,2013,"The Tsinghua-A iGEM Team searched for a rational GRN that can sense the input signal, realize the switch function and show adaptation to copy number.","The Tsinghua-A iGEM Team described their regulation reactions based on Michealis-Menten Equation and Hill Equation and constructed all possible three-node network topologies (around 20,000 networks) via ODE matrix equation sets. Then iterated the regulation process. 
During the thorough investigation of every network’s character under steady state, we finished mass amount of calculation and analysis with the help of High Performance Computing Cluster (HPCC). High-low Ratio and Interim Slope are main indexes for input-output character, and networks’ ability of saturation is considered as the key index for adaptation.
","DNA copy number
circuit
",
UNITN-Trento,2013,"B. fruity envisions an environmentally friendly way to control fruit ripening by exploiting an engineered, light regulated strain of B. subtilis.","B. fruity envisions an environmentally friendly way to control fruit ripening by exploiting an engineered, light regulated strain of B. subtilis. The system works by synthesising ethylene or methyl salicylate (MeSA) upon photoinduction. Everything is housed in a vending machine-like enclosure that regulates fruit ripening in response to consumer demand. B. fruity produces ethylene from inexpensive material by exploiting a TCA cycle intermediate, 2-oxoglutarate, and the activity of P. syringae 2-oxoglutarate decarboxylase. The inhibition of fruit ripening results from the synthesis of MeSA via a pathway built with wintergreen parts. As a proof of concept, the UNITN-Trento iGEM Team engineered E. coli with the above systems plus the YF1/FixJ blue light receptor device.","Ethylene
Fruit
light regulated
",B. subtilis、E. coli
Warsaw,2013,The Warsaw iGEM Team construct a bacterial strain that would serve as a detector of acrylicamide and a BiFC toolbox in BioBrick standard.,"The Warsaw iGEM Team construct a biosensor for acrylamide by two ways: through the use of roGFP (redox sensitive GFP) fused with glutaredoxin 1 (the presence of acrylamide is known to affect the cellular gluthatione pool) and by expressing hemoglobin α- and β- subunits fused with split fluorophore (adducts formed by acrylamide on the N-terminal valine are known to affect interactions between subunits). Also, they constructed a BiFC toolbox in BioBrick standard. The Warsaw iGEM Team sought to find out what was the effect of acrylamide on a variety of human cell lines and asses the toxicity of different concentrations of this compound.  ","Biosensor
acrylamide
",E. coli
York_UK,2013,"In this project, the York_UK iGEM Team aim to improve MFC(Microbial fuel cells) through decomposition of gold nanoparticles within the anodic chamber. ","The York_UK iGEM Team engineered the genetic circuit of Escherichia coli, such that the bacteria could sense gold and respond accordingly. This new, engineered organism is called Electricus aureus. The circuit is subdivided into three modules . The first is gold sensing. It is designed to recognize gold (HAuCl4) in its environment. GolS is a transcriptional activator of the promoter P(golTS). Upon binding with the gold, it dimerizes and binds to the recognition site within the promoter. The second is gold scavenging peptides. There are four variants of the fusion between MIDAS-2 and A3. The final module is hybrid bistable switch. ","Microbial fuel cells (MFC)
Gold(HAuCl4)
Energy
",E. coli
Hong_Kong_HKU,2013,"The aim of this project was to remove or reduce the levels of inorganic phosphate from a system or environment by employing engineered bacteria E. capsi, capable of accumulating phosphate in the form of polyphosphate.","The strategy is to express polyphosphate kinase together with the ethanolamine utilization (eut) bacterial microcompartment from Salmonella enterica to provide an environment for polyphosphate synthesis. Furthermore, the project provides a novel way to recover accumulated polyphosphate, an energy rich macromolecule with many industrial uses. This paves a way towards living system-based phosphate pollution treatment to tackle critical environmental challenges.  ","Phosphate
Eutrophication
polyphosphate 
pollutio
",E. coli
IIT_Delhi,2013,The IIT_Delhi iGEM Team combined the studies exploring pH inducible promoters in molecular biology with logical systems present in the iGEM parts registry to create a Global Bacterial pH sensor akin to the Universal pH Indicator.,"The IIT_Delhi iGEM Team combined the studies exploring pH inducible promoters in molecular biology with logical systems present in the iGEM parts registry to create a Global Bacterial pH sensor akin to the Universal pH Indicator. They used three widely studied promoters, one was acid inducible (asr) and another was inducible in alkaline condition (ATP2) and third was repressible promoter (Ptet). So our gene network is created in such a way that it works pretty well in a range of pH which varies from acidic pH to alkaline pH.","pH
colour
sensor
",E. coli
